loss_train,accuracy_train,loss_val,accuracy_val
2.303340435028076,0.125,2.292588949203491,0.125
2.292429208755493,0.125,2.290926218032837,0.125
2.2906808853149414,0.125,2.290534496307373,0.125
2.290304660797119,0.125,2.2906110286712646,0.125
2.2903811931610107,0.125,2.290898084640503,0.125
2.2906665802001953,0.125,2.2912912368774414,0.125
2.29106068611145,0.125,2.2917377948760986,0.125
2.2915101051330566,0.125,2.292208194732666,0.125
2.2919838428497314,0.125,2.2926838397979736,0.125
2.292463541030884,0.125,2.293154239654541,0.125
2.292938232421875,0.125,2.2936129570007324,0.125
2.2934014797210693,0.125,2.2940566539764404,0.125
2.2938499450683594,0.125,2.2944839000701904,0.125
