loss_train,accuracy_train,loss_val,accuracy_val
2.348804473876953,0.125,2.3657636642456055,0.125
2.335578441619873,0.140625,2.312894344329834,0.0625
2.3428235054016113,0.125,2.345644474029541,0.125
2.3233284950256348,0.125,2.311593532562256,0.125
2.3151767253875732,0.125,2.3448328971862793,0.0625
2.331479072570801,0.125,2.3409602642059326,0.125
2.33101749420166,0.125,2.325727939605713,0.125
2.321645498275757,0.125,2.318955183029175,0.125
2.316838026046753,0.125,2.3159966468811035,0.125
2.313619613647461,0.125,2.310985803604126,0.125
2.308289051055908,0.140625,2.3060662746429443,0.125
2.303340435028076,0.140625,2.2999043464660645,0.125
2.2978198528289795,0.15625,2.2968273162841797,0.0625
2.2977404594421387,0.140625,2.2931838035583496,0.125
2.292025566101074,0.140625,2.293569803237915,0.1875
2.2972981929779053,0.140625,2.2929701805114746,0.125
2.2896411418914795,0.171875,2.2932512760162354,0.1875
2.294318914413452,0.140625,2.2954509258270264,0.125
2.290316343307495,0.171875,2.3002829551696777,0.25
2.2905139923095703,0.1875,2.3021767139434814,0.1875
2.2902915477752686,0.171875,2.3027145862579346,0.1875
2.289979934692383,0.140625,2.3029696941375732,0.125
2.2889885902404785,0.125,2.303365707397461,0.125
2.2886204719543457,0.09375,2.3045003414154053,0.125
2.2880959510803223,0.109375,2.30553936958313,0.125
2.2870166301727295,0.15625,2.306363344192505,0.125
